health_score,open_issues,open_ratio,repository,stars,forks,language,total_contributors,core_contributors,contribution_gini,top_contributor_percentage,total_commits,commits_per_day,activity_ratio,unique_authors,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,log_stars,log_contributors,contributors_per_star,commits_per_contributor,time_window_days
85,1027,0.2727272727272727,facebook/react,237663,49016,JavaScript,410,2,-0.12242633949020797,0.1027448714244438,726,4.033333333333333,0.7833333333333333,60,33,0.18333333333333332,0.7272727272727273,1.4545454545454546,12.378613190469023,6.018593214496234,0.0017251318042774853,1.7707317073170732,180
70,601,0.325,vuejs/vue,209194,33748,TypeScript,356,1,-0.1233326070068401,0.7259696458684655,0,0.0,0.0,0,10,0.05555555555555555,0.7,14.45,12.251022110313668,5.877735781779639,0.0017017696492251213,0.0,180
85,1572,0.5882352941176471,angular/angular,98376,26460,TypeScript,381,0,-0.1609198632765492,0.06256084106690894,1886,10.477777777777778,1.2944444444444445,188,17,0.09444444444444444,0.4117647058823529,2.176470588235294,11.496562315881533,5.945420608606575,0.003872895828250793,4.9501312335958,180
85,2317,0.48148148148148145,nodejs/node,112400,32314,JavaScript,427,0,-0.20217078350783566,0.08067869702492492,1314,7.3,1.1944444444444444,199,27,0.15,0.5185185185185185,2.2962962962962963,11.629828113199304,6.059123195581797,0.003798932384341637,3.0772833723653394,180
80,194,0.4666666666666667,expressjs/express,67429,19770,JavaScript,306,2,-0.07299468754106361,0.6556850819395168,59,0.3277777777777778,0.20555555555555555,21,15,0.08333333333333333,0.5333333333333333,1.8,11.118845301728628,5.726847747587197,0.004538106749321509,0.19281045751633988,180
85,227,0.07692307692307693,webpack/webpack,65452,9088,JavaScript,397,1,-0.09714921390859328,0.5555424944163629,308,1.711111111111111,0.5111111111111111,37,13,0.07222222222222222,0.9230769230769231,5.846153846153846,11.089087606804009,5.986452005284438,0.006065513658864511,0.7758186397984886,180
75,2329,0.8518518518518519,facebook/create-react-app,103383,27048,JavaScript,448,2,-0.25509822615355404,0.29020824102791315,3,0.016666666666666666,0.011111111111111112,2,37,0.20555555555555555,0.10810810810810811,4.203703703703703,11.546205490205027,6.1070228877422545,0.004333401042724626,0.006696428571428571,180
75,3272,0.5833333333333334,vercel/next.js,133468,28937,JavaScript,430,2,-0.1365785536429479,0.12324039244580602,2000,11.11111111111111,0.6111111111111112,128,24,0.13333333333333333,0.4166666666666667,0.8333333333333334,11.801624520119757,6.066108090103747,0.003221746036503132,4.651162790697675,180
85,826,0.5121951219512195,sveltejs/svelte,83576,4578,JavaScript,413,1,-0.08603313523810817,0.5011512663930323,535,2.9722222222222223,0.7111111111111111,63,41,0.22777777777777777,0.4878048780487805,2.5609756097560976,11.333523641603223,6.025865973825314,0.004941610031588016,1.2953995157384988,180
85,257,0.5531914893617021,jestjs/jest,44923,6581,TypeScript,429,2,-0.21245053781418938,0.2817254639692359,155,0.8611111111111112,0.26666666666666666,51,47,0.2611111111111111,0.44680851063829785,3.723404255319149,10.712727452082927,6.063785208687608,0.009549673886427888,0.3613053613053613,180
