repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini
facebook/react,85,237593,49003,1023,JavaScript,410,717,0.09615384615384616,52,0.28888888888888886,0.9038461538461539,1.1346153846153846,3.9833333333333334,0.7888888888888889,180,2,-0.1224885073441562
vuejs/vue,70,209184,33754,602,TypeScript,356,0,0.3170731707317073,10,0.05555555555555555,0.7,14.170731707317072,0.0,0.0,180,1,-0.1233326070068401
angular/angular,85,98369,26451,1555,TypeScript,381,1920,0.6111111111111112,18,0.1,0.3888888888888889,1.2222222222222223,10.666666666666666,1.3055555555555556,180,0,-0.16085788692187575
nodejs/node,85,112344,32269,2307,JavaScript,427,1325,0.6,30,0.16666666666666666,0.4,1.3,7.361111111111111,1.2,180,0,-0.20211970164043877
expressjs/express,80,67409,19696,193,JavaScript,306,59,0.4,15,0.08333333333333333,0.6,1.9333333333333333,0.3277777777777778,0.20555555555555555,180,2,-0.07299468754106361
webpack/webpack,85,65453,9087,232,JavaScript,398,300,0.21428571428571427,14,0.07777777777777778,0.7857142857142857,5.428571428571429,1.6666666666666667,0.5,180,1,-0.09714981894420362
facebook/create-react-app,75,103377,27040,2328,JavaScript,449,14,0.7818181818181819,40,0.2222222222222222,0.175,4.0181818181818185,0.07777777777777778,0.016666666666666666,180,2,-0.2553040809120159
vercel/next.js,75,133413,28928,3279,JavaScript,430,2000,0.6666666666666666,24,0.13333333333333333,0.3333333333333333,0.4583333333333333,11.11111111111111,0.6055555555555555,180,2,-0.13657438828039825
python/cpython,85,68022,32437,9197,Python,350,2000,0.6470588235294118,34,0.18888888888888888,0.35294117647058826,2.4705882352941178,11.11111111111111,0.75,180,0,-0.17334294694667035
pallets/flask,80,70038,16506,14,Python,401,48,0.18518518518518517,25,0.1388888888888889,0.84,2.1481481481481484,0.26666666666666666,0.09444444444444444,180,2,-0.12925855161723868
django/django,60,84350,32737,349,Python,392,412,0.0,0,0.0,0.0,0.0,2.2888888888888888,1.0,180,1,-0.1406840352320519
numpy/numpy,85,30002,11117,2318,Python,435,1239,0.37037037037037035,27,0.15,0.6296296296296297,4.666666666666667,6.883333333333334,0.95,180,1,-0.1387550243480826
pandas-dev/pandas,85,46100,18718,3746,Python,413,394,0.7567567567567568,37,0.20555555555555555,0.24324324324324326,2.3513513513513513,2.188888888888889,0.7277777777777777,180,3,-0.14123927401646952
psf/requests,80,53090,9507,269,Python,402,42,0.22448979591836735,49,0.2722222222222222,0.7755102040816326,2.2244897959183674,0.23333333333333334,0.16111111111111112,180,3,-0.20535549586303933
pytest-dev/pytest,85,12913,2833,922,Python,375,243,0.4722222222222222,36,0.2,0.5277777777777778,3.5,1.35,0.5555555555555556,180,3,-0.11319040520395718
scikit-learn/scikit-learn,85,62771,26087,2184,Python,410,555,0.20689655172413793,29,0.16111111111111112,0.7931034482758621,2.689655172413793,3.0833333333333335,0.7388888888888889,180,1,-0.18722049421471304
spring-projects/spring-boot,75,77869,41335,586,Java,357,2000,0.25287356321839083,87,0.48333333333333334,0.7471264367816092,0.6091954022988506,11.11111111111111,0.6666666666666666,180,3,-0.03674722221777685
elastic/elasticsearch,85,73326,25348,5306,Java,347,2000,0.9130434782608695,23,0.12777777777777777,0.08695652173913043,1.9130434782608696,11.11111111111111,0.5444444444444444,180,0,-0.215824142226367
apache/kafka,60,30557,14519,241,Java,347,1199,0.0,0,0.0,0.0,0.0,6.661111111111111,0.9444444444444444,180,0,-0.28934733953462766
google/guava,85,50964,11031,718,Java,322,217,0.6,5,0.027777777777777776,0.4,5.0,1.2055555555555555,0.5055555555555555,180,2,-0.09717759543253407
ReactiveX/RxJava,80,48215,7606,13,Java,289,44,0.13333333333333333,12,0.06666666666666667,0.9166666666666666,3.466666666666667,0.24444444444444444,0.15,180,2,-0.09392216740485639
torvalds/linux,35,198276,57071,485,C,0,2000,0.0,0,0.0,0.0,0.0,11.11111111111111,0.5277777777777778,180,0,0.0
microsoft/terminal,85,98997,8665,1669,C++,413,153,0.4576271186440678,59,0.3277777777777778,0.5423728813559322,2.2203389830508473,0.85,0.3888888888888889,180,3,-0.1302180767976153
redis/redis,85,70178,24135,2630,C,382,360,0.6666666666666666,33,0.18333333333333332,0.3333333333333333,4.090909090909091,2.0,0.6833333333333333,180,1,-0.08390195137242182
nginx/nginx,80,27543,7438,252,C,80,79,0.6410256410256411,39,0.21666666666666667,0.358974358974359,1.5128205128205128,0.4388888888888889,0.26666666666666666,180,2,-0.10082724988032551
golang/go,85,129077,18271,9440,Go,383,1422,0.4482758620689655,87,0.48333333333333334,0.5517241379310345,2.7126436781609193,7.9,1.6,180,1,-0.1750787107423757
kubernetes/kubernetes,85,116515,41016,2502,Go,346,2000,0.8709677419354839,31,0.17222222222222222,0.12903225806451613,4.129032258064516,11.11111111111111,0.8222222222222222,180,1,-0.2975478080769509
moby/moby,75,70282,18786,3611,Go,398,2000,0.5625,16,0.08888888888888889,0.4375,0.875,11.11111111111111,0.9944444444444445,180,1,-0.13194642784970428
prometheus/prometheus,85,59635,9669,699,Go,352,897,0.6333333333333333,30,0.16666666666666666,0.36666666666666664,1.1,4.983333333333333,0.8555555555555555,180,2,-0.15523860316728166
grafana/grafana,75,69169,12786,3775,TypeScript,373,2000,0.8947368421052632,19,0.10555555555555556,0.10526315789473684,0.3157894736842105,11.11111111111111,0.46111111111111114,180,1,-0.24783018547862617
tensorflow/tensorflow,85,190891,74769,1482,C++,410,2000,0.3333333333333333,3,0.016666666666666666,0.6666666666666666,1.6666666666666667,11.11111111111111,0.3277777777777778,180,1,-0.3261234912510921
pytorch/pytorch,75,91765,24770,16650,Python,320,2000,0.9411764705882353,34,0.18888888888888888,0.058823529411764705,0.9411764705882353,11.11111111111111,0.26666666666666666,180,0,-0.4250554983744531
huggingface/transformers,85,147446,29774,1894,Python,436,1902,0.7777777777777778,18,0.1,0.2222222222222222,1.6666666666666667,10.566666666666666,0.8,180,0,-0.2112719151383401
microsoft/ML-For-Beginners,75,75521,16692,16,HTML,128,13,0.5454545454545454,11,0.06111111111111111,0.45454545454545453,2.5454545454545454,0.07222222222222222,0.05,180,1,-0.22561318195908245
openai/whisper,50,85530,10474,89,Python,78,12,0.0,0,0.0,0.0,0.0,0.06666666666666667,0.016666666666666666,180,1,-0.5216006216006216
microsoft/vscode,75,174969,33948,11962,TypeScript,328,2000,0.8192771084337349,83,0.46111111111111114,0.18072289156626506,0.9397590361445783,11.11111111111111,0.32222222222222224,180,1,-0.08638049944745477
git/git,60,55750,26435,244,C,423,1727,0.0,0,0.0,0.0,0.0,9.594444444444445,0.9888888888888889,180,1,-0.150163240997824
Unknown,0,0,0,0,Unknown,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0.0
