repository,health_score,stars,forks,open_issues,language,total_contributors,total_commits,open_ratio,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,commits_per_day,activity_ratio,time_window_days,core_contributors,contribution_gini,avg_response_time_hours,response_rate,total_releases,releases_per_month,days_since_last_release,documentation_score,has_readme,has_contributing,has_license,pr_acceptance_rate,avg_time_to_merge_days
facebook/react,,237592,49003,1020,JavaScript,0,720,0.09615384615384616,52,0.28888888888888886,0.9038461538461539,1.1346153846153846,4.0,0.7888888888888889,180,0,0,0,0,0,0,0,0,False,False,False,0,0
vuejs/vue,,209185,33755,602,TypeScript,0,0,0.3170731707317073,10,0.05555555555555555,0.7,14.170731707317072,0.0,0.0,180,0,0,0,0,0,0,0,0,False,False,False,0,0
angular/angular,,98370,26453,1555,TypeScript,0,1920,0.6111111111111112,18,0.1,0.3888888888888889,1.2222222222222223,10.666666666666666,1.3055555555555556,180,0,0,0,0,0,0,0,0,False,False,False,0,0
nodejs/node,,112345,32270,2307,JavaScript,0,1323,0.6,30,0.16666666666666666,0.4,1.3333333333333333,7.35,1.2,180,0,0,0,0,0,0,0,0,False,False,False,0,0
expressjs/express,,67409,19694,193,JavaScript,0,59,0.4,15,0.08333333333333333,0.6,1.9333333333333333,0.3277777777777778,0.20555555555555555,180,0,0,0,0,0,0,0,0,False,False,False,0,0
webpack/webpack,,65453,9086,231,JavaScript,0,301,0.21428571428571427,14,0.07777777777777778,0.7857142857142857,5.5,1.6722222222222223,0.5,180,0,0,0,0,0,0,0,0,False,False,False,0,0
facebook/create-react-app,,103377,27040,2328,JavaScript,0,14,0.7818181818181819,40,0.2222222222222222,0.175,4.0181818181818185,0.07777777777777778,0.016666666666666666,180,0,0,0,0,0,0,0,0,False,False,False,0,0
vercel/next.js,,133414,28927,3280,JavaScript,0,2000,0.6666666666666666,24,0.13333333333333333,0.3333333333333333,0.4166666666666667,11.11111111111111,0.6055555555555555,180,0,0,0,0,0,0,0,0,False,False,False,0,0
python/cpython,,68023,32438,9197,Python,0,2000,0.6470588235294118,34,0.18888888888888888,0.35294117647058826,2.5,11.11111111111111,0.75,180,0,0,0,0,0,0,0,0,False,False,False,0,0
pallets/flask,,70038,16506,14,Python,0,48,0.18518518518518517,25,0.1388888888888889,0.84,2.1481481481481484,0.26666666666666666,0.09444444444444444,180,0,0,0,0,0,0,0,0,False,False,False,0,0
django/django,,84351,32737,349,Python,0,412,0.0,0,0.0,0.0,0.0,2.2888888888888888,1.0,180,0,0,0,0,0,0,0,0,False,False,False,0,0
numpy/numpy,,30002,11117,2319,Python,0,1239,0.37037037037037035,27,0.15,0.6296296296296297,4.666666666666667,6.883333333333334,0.95,180,0,0,0,0,0,0,0,0,False,False,False,0,0
pandas-dev/pandas,,46100,18718,3748,Python,0,394,0.7692307692307693,39,0.21666666666666667,0.23076923076923078,2.2564102564102564,2.188888888888889,0.7277777777777777,180,0,0,0,0,0,0,0,0,False,False,False,0,0
psf/requests,,53090,9507,269,Python,0,42,0.22448979591836735,49,0.2722222222222222,0.7755102040816326,2.2244897959183674,0.23333333333333334,0.16111111111111112,180,0,0,0,0,0,0,0,0,False,False,False,0,0
pytest-dev/pytest,,12913,2833,923,Python,0,243,0.4722222222222222,36,0.2,0.5277777777777778,3.5,1.35,0.5555555555555556,180,0,0,0,0,0,0,0,0,False,False,False,0,0
scikit-learn/scikit-learn,,62771,26087,2181,Python,0,557,0.20689655172413793,29,0.16111111111111112,0.7931034482758621,2.689655172413793,3.0944444444444446,0.7388888888888889,180,0,0,0,0,0,0,0,0,False,False,False,0,0
spring-projects/spring-boot,,77870,41335,585,Java,0,2000,0.2413793103448276,87,0.48333333333333334,0.7586206896551724,0.6091954022988506,11.11111111111111,0.6666666666666666,180,0,0,0,0,0,0,0,0,False,False,False,0,0
elastic/elasticsearch,,73325,25349,5301,Java,0,2000,0.9130434782608695,23,0.12777777777777777,0.08695652173913043,1.9130434782608696,11.11111111111111,0.5444444444444444,180,0,0,0,0,0,0,0,0,False,False,False,0,0
apache/kafka,,30557,14520,240,Java,0,1200,0.0,0,0.0,0.0,0.0,6.666666666666667,0.95,180,0,0,0,0,0,0,0,0,False,False,False,0,0
google/guava,,50964,11031,718,Java,0,217,0.6,5,0.027777777777777776,0.4,5.0,1.2055555555555555,0.5055555555555555,180,0,0,0,0,0,0,0,0,False,False,False,0,0
ReactiveX/RxJava,,48215,7606,13,Java,0,44,0.13333333333333333,12,0.06666666666666667,0.9166666666666666,3.466666666666667,0.24444444444444444,0.15,180,0,0,0,0,0,0,0,0,False,False,False,0,0
torvalds/linux,,198278,57074,485,C,0,2000,0.0,0,0.0,0.0,0.0,11.11111111111111,0.5277777777777778,180,0,0,0,0,0,0,0,0,False,False,False,0,0
microsoft/terminal,,98997,8665,1669,C++,0,153,0.4576271186440678,59,0.3277777777777778,0.5423728813559322,2.23728813559322,0.85,0.3888888888888889,180,0,0,0,0,0,0,0,0,False,False,False,0,0
redis/redis,,70178,24136,2630,C,0,360,0.6666666666666666,33,0.18333333333333332,0.3333333333333333,4.090909090909091,2.0,0.6833333333333333,180,0,0,0,0,0,0,0,0,False,False,False,0,0
nginx/nginx,,27543,7439,252,C,0,79,0.6410256410256411,39,0.21666666666666667,0.358974358974359,1.5128205128205128,0.4388888888888889,0.26666666666666666,180,0,0,0,0,0,0,0,0,False,False,False,0,0
golang/go,,129077,18272,9439,Go,0,1424,0.4482758620689655,87,0.48333333333333334,0.5517241379310345,2.7126436781609193,7.911111111111111,1.6055555555555556,180,0,0,0,0,0,0,0,0,False,False,False,0,0
kubernetes/kubernetes,,116516,41017,2502,Go,0,2000,0.8387096774193549,31,0.17222222222222222,0.16129032258064516,4.225806451612903,11.11111111111111,0.8222222222222222,180,0,0,0,0,0,0,0,0,False,False,False,0,0
moby/moby,,70283,18786,3611,Go,0,2000,0.5625,16,0.08888888888888889,0.4375,0.875,11.11111111111111,0.9944444444444445,180,0,0,0,0,0,0,0,0,False,False,False,0,0
prometheus/prometheus,,59636,9671,699,Go,0,897,0.6333333333333333,30,0.16666666666666666,0.36666666666666664,1.1,4.983333333333333,0.8555555555555555,180,0,0,0,0,0,0,0,0,False,False,False,0,0
grafana/grafana,,69169,12786,3776,TypeScript,0,2000,0.9,20,0.1111111111111111,0.1,0.3,11.11111111111111,0.46111111111111114,180,0,0,0,0,0,0,0,0,False,False,False,0,0
tensorflow/tensorflow,,190891,74770,1479,C++,0,2000,0.3333333333333333,3,0.016666666666666666,0.6666666666666666,1.6666666666666667,11.11111111111111,0.3277777777777778,180,0,0,0,0,0,0,0,0,False,False,False,0,0
pytorch/pytorch,,91765,24771,16645,Python,0,2000,0.9411764705882353,34,0.18888888888888888,0.058823529411764705,1.0,11.11111111111111,0.26666666666666666,180,0,0,0,0,0,0,0,0,False,False,False,0,0
huggingface/transformers,,147449,29774,1878,Python,0,1912,0.7222222222222222,18,0.1,0.2777777777777778,1.9444444444444444,10.622222222222222,0.8,180,0,0,0,0,0,0,0,0,False,False,False,0,0
microsoft/ML-For-Beginners,,75524,16693,16,HTML,0,13,0.5454545454545454,11,0.06111111111111111,0.45454545454545453,2.5454545454545454,0.07222222222222222,0.05,180,0,0,0,0,0,0,0,0,False,False,False,0,0
openai/whisper,,85532,10475,89,Python,0,12,0.0,0,0.0,0.0,0.0,0.06666666666666667,0.016666666666666666,180,0,0,0,0,0,0,0,0,False,False,False,0,0
microsoft/vscode,,174969,33949,11962,TypeScript,0,2000,0.8235294117647058,85,0.4722222222222222,0.17647058823529413,0.9411764705882353,11.11111111111111,0.32222222222222224,180,0,0,0,0,0,0,0,0,False,False,False,0,0
git/git,,55750,26438,244,C,0,1727,0.0,0,0.0,0.0,0.0,9.594444444444445,0.9888888888888889,180,0,0,0,0,0,0,0,0,False,False,False,0,0
Unknown,,0,0,0,Unknown,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,0,0,0,0,False,False,False,0,0
atom/atom,,60563,17317,993,JavaScript,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,180,0,0,0,0,0,0,0,0,False,False,False,0,0
neovim/neovim,,91380,6207,1971,Vim Script,0,1687,0.64,25,0.1388888888888889,0.36,3.0,9.372222222222222,1.1277777777777778,180,0,0,0,0,0,0,0,0,False,False,False,0,0
flutter/flutter,,171521,28898,12050,Dart,0,2000,0.5106382978723404,47,0.2611111111111111,0.48936170212765956,1.851063829787234,11.11111111111111,0.7333333333333333,180,0,0,0,0,0,0,0,0,False,False,False,0,0
facebook/react-native,,123156,24768,1053,C++,0,2000,0.6470588235294118,17,0.09444444444444444,0.35294117647058826,4.176470588235294,11.11111111111111,0.6,180,0,0,0,0,0,0,0,0,False,False,False,0,0
ionic-team/ionic-framework,,51919,13439,585,TypeScript,0,196,0.7586206896551724,29,0.16111111111111112,0.2413793103448276,1.3448275862068966,1.0888888888888888,0.3611111111111111,180,0,0,0,0,0,0,0,0,False,False,False,0,0
jupyter/notebook,,12439,5310,1970,Jupyter Notebook,0,43,0.2777777777777778,36,0.2,0.7222222222222222,3.0555555555555554,0.2388888888888889,0.15555555555555556,180,0,0,0,0,0,0,0,0,False,False,False,0,0
plotly/plotly.js,,17749,1915,723,JavaScript,0,446,0.7666666666666667,60,0.3333333333333333,0.23333333333333334,1.5166666666666666,2.477777777777778,0.45555555555555555,180,0,0,0,0,0,0,0,0,False,False,False,0,0
apache/superset,,67271,15383,768,TypeScript,0,822,0.5,24,0.13333333333333333,0.5,2.7916666666666665,4.566666666666666,0.8222222222222222,180,0,0,0,0,0,0,0,0,False,False,False,0,0
rust-lang/rust,,105289,13580,11428,Rust,0,2000,1.0,25,0.1388888888888889,0.0,0.92,11.11111111111111,0.45,180,0,0,0,0,0,0,0,0,False,False,False,0,0
denoland/deno,,103683,5658,2327,Rust,0,1019,0.6792452830188679,53,0.29444444444444445,0.32075471698113206,1.5471698113207548,5.661111111111111,0.8611111111111112,180,0,0,0,0,0,0,0,0,False,False,False,0,0
octocat/Hello-World,,3040,3275,1793,,0,0,0.8648648648648649,37,0.20555555555555555,0.13513513513513514,0.21621621621621623,0.0,0.0,180,0,0,0,0,0,0,0,0,False,False,False,0,0
github/docs,,17621,62545,68,TypeScript,0,2000,0.2903225806451613,31,0.17222222222222222,0.7096774193548387,1.5806451612903225,11.11111111111111,0.5777777777777777,180,0,0,0,0,0,0,0,0,False,False,False,0,0
