health_score,open_issues,open_ratio,repository,stars,forks,language,total_contributors,core_contributors,contribution_gini,top_contributor_percentage,total_commits,commits_per_day,activity_ratio,unique_authors,recent_issues_count,recent_issues_per_day,recent_resolution_rate,avg_comments_per_issue,log_stars,log_contributors,contributors_per_star,commits_per_contributor,time_window_days,recent_contributors,log_recent_contributors,recent_contributor_ratio,recent_contributors_per_star
85,1027,0.2727272727272727,facebook/react,237663,49016,JavaScript,410,2,-0.1224263394902079,0.1027448714244438,726,4.033333333333333,0.7833333333333333,60,33,0.1833333333333333,0.7272727272727273,1.4545454545454546,12.378613190469023,6.018593214496234,0.0017251318042774,1.7707317073170732,180,60,4.110873864173311,0.1463414634146341,0.000252458312821
85,1572,0.5882352941176471,angular/angular,98376,26460,TypeScript,381,0,-0.1609198632765492,0.0625608410669089,1886,10.477777777777778,1.2944444444444445,188,17,0.0944444444444444,0.4117647058823529,2.176470588235294,11.496562315881532,5.945420608606575,0.0038728958282507,4.9501312335958,180,188,5.241747015059643,0.4934383202099737,0.0019110352118402
85,2317,0.4814814814814814,nodejs/node,112400,32314,JavaScript,427,0,-0.2021707835078356,0.0806786970249249,1314,7.3,1.1944444444444444,199,27,0.15,0.5185185185185185,2.2962962962962963,11.629828113199304,6.059123195581797,0.0037989323843416,3.077283372365339,180,199,5.298317366548036,0.4660421545667447,0.0017704626334519
80,194,0.4666666666666667,expressjs/express,67429,19770,JavaScript,306,2,-0.0729946875410636,0.6556850819395168,59,0.3277777777777778,0.2055555555555555,21,15,0.0833333333333333,0.5333333333333333,1.8,11.118845301728628,5.726847747587197,0.0045381067493215,0.1928104575163398,180,21,3.091042453358316,0.0686274509803921,0.0003114386984828
85,227,0.0769230769230769,webpack/webpack,65452,9088,JavaScript,397,1,-0.0971492139085932,0.5555424944163629,308,1.711111111111111,0.5111111111111111,37,13,0.0722222222222222,0.9230769230769232,5.846153846153846,11.089087606804007,5.986452005284438,0.0060655136588645,0.7758186397984886,180,37,3.6375861597263857,0.0931989924433249,0.0005652997616573
75,2329,0.8518518518518519,facebook/create-react-app,103383,27048,JavaScript,448,2,-0.255098226153554,0.2902082410279131,3,0.0166666666666666,0.0111111111111111,2,37,0.2055555555555555,0.1081081081081081,4.203703703703703,11.546205490205027,6.1070228877422545,0.0043334010427246,0.0066964285714285,180,2,1.0986122886681098,0.0044642857142857,1.9345540369306364e-05
75,3272,0.5833333333333334,vercel/next.js,133468,28937,JavaScript,430,2,-0.1365785536429479,0.123240392445806,2000,11.11111111111111,0.6111111111111112,128,24,0.1333333333333333,0.4166666666666667,0.8333333333333334,11.801624520119756,6.066108090103747,0.0032217460365031,4.651162790697675,180,128,4.859812404361672,0.2976744186046511,0.0009590313783079
85,826,0.5121951219512195,sveltejs/svelte,83576,4578,JavaScript,413,1,-0.0860331352381081,0.5011512663930323,535,2.9722222222222223,0.7111111111111111,63,41,0.2277777777777777,0.4878048780487805,2.5609756097560976,11.333523641603223,6.025865973825314,0.004941610031588,1.2953995157384988,180,63,4.1588830833596715,0.1525423728813559,0.0007538049200727
85,257,0.5531914893617021,jestjs/jest,44923,6581,TypeScript,429,2,-0.2124505378141893,0.2817254639692359,155,0.8611111111111112,0.2666666666666666,51,47,0.2611111111111111,0.4468085106382978,3.723404255319149,10.712727452082929,6.063785208687608,0.0095496738864278,0.3613053613053613,180,51,3.951243718581427,0.1188811188811188,0.0011352759165683
75,717,0.7419354838709677,typicode/json-server,74676,7196,JavaScript,78,1,-0.1353883469268084,0.8846153846153846,1,0.0055555555555555,0.0055555555555555,1,9,0.05,0.0,6.903225806451613,11.2209274254508,4.3694478524670215,0.0010445122931062,0.0128205128205128,180,1,0.6931471805599453,0.0128205128205128,1.3391183244951523e-05
